"name","title","level","facing","categories","description","detail","cache_key","remediation","metadata"
"auth_leaked_password_protection","Leaked Password Protection Disabled","WARN","EXTERNAL","["SECURITY"]","Leaked password protection is currently disabled.","Supabase Auth prevents the use of compromised passwords by checking against HaveIBeenPwned.org. Enable this feature to enhance security.","auth_leaked_password_protection","https://supabase.com/docs/guides/auth/password-security#password-strength-and-leaked-password-protection","{"type":"auth","entity":"Auth"}"
"auth_insufficient_mfa_options","Insufficient MFA Options","WARN","EXTERNAL","["SECURITY"]","This project has too few multi-factor authentication (MFA) options enabled.","Your project has too few MFA options enabled, which may weaken account security. Enable more MFA methods to enhance security.","auth_insufficient_mfa_options","https://supabase.com/docs/guides/auth/auth-mfa","{"type":"auth","entity":"Auth"}"
